id,name,team,position,y1_points,y1_rank,y2_points,y2_rank,y3_points,y3_rank,y1_average,y2_average,y3_average,y1_games,y2_games,y3_games,y1_price,y2_price,y3_price
1629076,Tyler Cook,Chicago Bulls,F,189.5,417,398.0,341,61.5,346,9.5,12.4,4.7,20,32,13,0,0,0
1629639,Tyler Herro,Miami Heat,G,2796.0,70,1901.0,115,1546.0,168,42.4,35.2,28.1,66,54,55,6,38,2
1630179,Tyrell Terry,Memphis Grizzlies,G,3.5,499,41.0,421,0.0,365,1.8,3.7,0.0,2,11,0,0,0,0
1630169,Tyrese Haliburton,Indiana Pacers,G,4090.5,15,2274.5,80,0.0,365,53.1,39.2,0.0,77,58,0,29,0,0
1630178,Tyrese Maxey,Philadelphia 76ers,G,3108.5,48,1153.5,223,0.0,365,41.4,18.9,0.0,75,61,0,0,0,0
1626145,Tyus Jones,Memphis Grizzlies,G,2029.5,133,1556.0,165,1601.5,162,27.8,22.2,24.6,73,70,65,0,0,0
1628962,Udoka Azubuike,Utah Jazz,C-F,252.0,407,52.5,420,0.0,365,14.8,3.5,0.0,17,15,0,0,0,0
2617,Udonis Haslem,Miami Heat,F,81.5,453,8.0,429,33.0,355,6.3,8.0,8.2,13,1,4,0,0,0
1630586,Usman Garuba,Houston Rockets,F,271.5,401,0.0,433,0.0,365,11.3,0.0,0.0,24,0,0,0,0,0
1630176,Vernon Carey Jr.,Washington Wizards,F-C,51.0,465,116.5,402,0.0,365,7.3,6.1,0.0,7,19,0,0,0,0
203506,Victor Oladipo,Miami Heat,G,234.5,410,1444.0,183,559.0,279,29.3,43.8,29.4,8,33,19,0,28,1
1630249,Vit Krejci,Oklahoma City Thunder,G,549.0,345,0.0,433,0.0,365,18.3,0.0,0.0,30,0,0,0,0,0
1628427,Vlatko Cancar,Denver Nuggets,F,175.5,422,224.5,383,45.5,350,11.7,5.5,3.2,15,41,14,0,0,0
201961,Wayne Ellington,Los Angeles Lakers,G,598.5,340,906.5,269,424.0,301,13.9,19.7,11.8,43,46,36,0,0,0
1627782,Wayne Selden,New York Knicks,G-F,9.0,492,0.0,433,0.0,365,3.0,0.0,0.0,3,0,0,0,0,0
1628976,Wendell Carter Jr.,Orlando Magic,C-F,2935.0,58,1958.0,110,1649.5,155,47.3,36.3,38.4,62,54,43,0,28,1
1629117,Wenyen Gabriel,Los Angeles Lakers,F,404.0,377,226.5,382,206.0,327,15.5,10.8,6.9,26,21,30,0,0,0
1628411,Wes Iwundu,Atlanta Hawks,F,49.0,468,286.5,368,788.0,253,16.3,7.0,15.2,3,41,52,0,0,0
203115,Will Barton,Washington Wizards,G,2557.0,87,1745.5,138,2386.5,72,36.0,31.2,41.1,71,56,58,0,2,0
1626161,Willie Cauley-Stein,Philadelphia 76ers,C,143.0,431,1001.5,249,1510.5,174,7.2,18.9,28.0,20,53,54,0,1,1
1626195,Willy Hernangomez,New Orleans Pelicans,C-F,1433.5,213,1321.0,197,540.0,284,28.7,28.1,17.4,50,47,31,0,0,0
1630270,Xavier Sneed,Utah Jazz,F,12.0,490,0.0,433,0.0,365,1.3,0.0,0.0,9,0,0,0,0,0
1630214,Xavier Tillman Sr.,Memphis Grizzlies,F,862.0,300,1294.0,202,0.0,365,16.3,21.9,0.0,53,59,0,0,0,0
1629139,Yuta Watanabe,Brooklyn Nets,G-F,452.5,363,715.5,303,103.0,338,11.9,14.3,5.7,38,50,18,0,0,0
1630582,Yves Pons,Memphis Grizzlies,F,50.5,466,0.0,433,0.0,365,4.2,0.0,0.0,12,0,0,0,0,0
1628380,Zach Collins,San Antonio Spurs,F-C,715.0,322,0.0,433,251.0,319,25.5,0.0,22.8,28,0,11,0,0,1
203897,Zach LaVine,Chicago Bulls,G-F,3305.0,37,3233.0,29,3092.5,37,49.3,55.7,51.5,67,58,60,101,69,81
1630192,Zeke Nnaji,Denver Nuggets,F-C,692.5,325,325.0,357,0.0,365,16.9,7.7,0.0,41,42,0,0,0,0
1630533,Ziaire Williams,Memphis Grizzlies,F,1068.0,265,0.0,433,0.0,365,17.2,0.0,0.0,62,0,0,0,0,0
1629627,Zion Williamson,New Orleans Pelicans,F,0.0,500,3805.0,14,1132.0,220,0.0,62.4,47.2,0,61,24,0,95,37
1629597,Zylan Cheatham,Utah Jazz,F,-2.5,503,0.0,433,37.5,352,-2.5,0.0,9.4,1,0,4,0,0,0
