,points,points,points,average,average,average,games,games,games,price,price,price
season,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020
name,,,,,,,,,,,,
Ryan Arcidiacono,38.5,401.5,740.0,3.8,9.1,12.8,10.0,44.0,58.0,0.0,0.0,0.0
Saben Lee,735.5,967.0,0.0,19.9,20.1,0.0,37.0,48.0,0.0,0.0,0.0,0.0
Saddiq Bey,3029.0,1873.0,0.0,36.9,26.8,0.0,82.0,70.0,0.0,0.0,0.0,0.0
Sam Dekker,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sam Hauser,158.5,0.0,0.0,6.1,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
Sam Merrill,42.0,223.5,0.0,7.0,7.4,0.0,6.0,30.0,0.0,0.0,0.0,0.0
Sandro Mamukelashvili,439.5,0.0,0.0,10.7,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
Santi Aldama,379.5,0.0,0.0,11.9,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
Scottie Barnes,3337.0,0.0,0.0,45.1,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0
Scottie Lewis,6.5,0.0,0.0,3.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Sean McDermott,0.0,94.0,0.0,0.0,5.2,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Sekou Doumbouya,42.5,672.0,537.5,21.2,12.0,14.1,2.0,56.0,38.0,0.0,0.0,0.0
Semi Ojeleye,265.0,623.0,627.0,8.8,11.1,9.1,30.0,56.0,69.0,0.0,0.0,0.0
Serge Ibaka,1072.5,1371.0,2245.5,19.9,33.4,40.8,54.0,41.0,55.0,0.0,19.0,4.0
Seth Curry,2198.5,1598.0,1670.5,34.4,28.0,26.1,64.0,57.0,64.0,0.0,8.0,0.0
Shai Gilgeous-Alexander,3211.0,1907.0,3190.0,57.3,54.5,45.6,56.0,35.0,70.0,0.0,93.0,2.0
Shake Milton,1200.5,1793.0,901.5,21.8,28.5,22.5,55.0,63.0,40.0,0.0,0.0,0.0
Shaq Buchanan,8.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Shaquille Harrison,19.5,256.0,678.0,9.8,7.5,15.8,2.0,34.0,43.0,0.0,0.0,0.0
Sharife Cooper,12.0,0.0,0.0,0.9,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Skylar Mays,198.5,325.5,0.0,7.1,9.9,0.0,28.0,33.0,0.0,0.0,0.0,0.0
Solomon Hill,77.5,943.5,955.0,6.0,13.3,16.2,13.0,71.0,59.0,0.0,0.0,0.0
Spencer Dinwiddie,2480.5,62.0,3043.0,37.0,20.7,47.5,67.0,3.0,64.0,13.0,9.0,0.0
Stanley Johnson,945.5,888.5,172.0,19.7,14.6,6.9,48.0,61.0,25.0,0.0,0.0,0.0
Stephen Curry,3720.5,4116.5,249.0,58.1,65.3,49.8,64.0,63.0,5.0,160.0,157.0,181.0
Sterling Brown,507.0,1129.0,720.5,10.3,22.1,13.9,49.0,51.0,52.0,0.0,0.0,0.0
Steven Adams,2858.0,1955.5,2635.5,37.6,33.7,41.8,76.0,58.0,63.0,5.0,17.0,30.0
Svi Mykhailiuk,582.5,1222.5,1088.5,10.4,18.5,19.4,56.0,66.0,56.0,0.0,0.0,0.0
T.J. McConnell,847.5,2623.5,1842.0,31.4,38.0,25.9,27.0,69.0,71.0,0.0,0.0,0.0
T.J. Warren,0.0,116.5,2801.5,0.0,29.1,41.8,0.0,4.0,67.0,0.0,34.0,2.0
Tacko Fall,67.5,218.5,69.0,6.1,11.5,9.9,11.0,19.0,7.0,0.0,0.0,0.0
Taj Gibson,906.5,1053.5,1197.0,17.4,23.4,19.3,52.0,45.0,62.0,0.0,0.0,0.0
Talen Horton-Tucker,1562.5,1563.5,86.5,26.0,24.1,14.4,60.0,65.0,6.0,0.0,0.0,0.0
Taurean Prince,1193.5,963.0,1807.5,17.3,23.5,28.2,69.0,41.0,64.0,0.0,0.0,1.0
Terance Mann,2443.5,1332.5,363.0,30.2,19.9,8.9,81.0,67.0,41.0,0.0,0.0,0.0
Terence Davis,674.5,1169.5,1370.0,22.5,19.2,19.0,30.0,61.0,72.0,0.0,0.0,0.0
Terrence Ross,1275.5,1489.5,1980.5,20.2,32.4,28.7,63.0,46.0,69.0,0.0,0.0,1.0
Terry Rozier,3372.0,3212.0,2511.5,46.2,46.6,39.9,73.0,69.0,63.0,23.0,2.0,12.0
Terry Taylor,905.0,0.0,0.0,27.4,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
Thaddeus Young,1146.0,2738.5,1795.5,22.0,40.3,28.1,52.0,68.0,64.0,0.0,0.0,2.0
Thanasis Antetokounmpo,489.0,551.0,151.0,10.2,9.7,7.6,48.0,57.0,20.0,0.0,7.0,0.0
Theo Maledon,906.0,1581.0,0.0,17.8,24.3,0.0,51.0,65.0,0.0,0.0,0.0,0.0
Theo Pinson,140.0,1.0,327.0,7.4,0.1,9.9,19.0,17.0,33.0,0.0,0.0,0.0
Thomas Bryant,548.5,371.0,1835.5,20.3,37.1,39.9,27.0,10.0,46.0,0.0,21.0,27.0
Tim Hardaway Jr.,1247.5,2195.5,2159.0,29.7,31.4,30.4,42.0,70.0,71.0,0.0,25.0,0.0
Timothe Luwawu-Cabarrot,538.5,825.0,742.5,10.4,14.2,15.8,52.0,58.0,47.0,0.0,0.0,0.0
Tobias Harris,3199.0,3089.0,3367.0,43.8,49.8,46.8,73.0,62.0,72.0,45.0,40.0,30.0
Tomas Satoransky,890.5,1495.5,2137.5,16.2,25.8,32.9,55.0,58.0,65.0,0.0,1.0,1.0
Tony Bradley,664.5,1018.0,1012.0,12.1,24.2,17.4,55.0,42.0,58.0,0.0,0.0,0.0
Tony Snell,480.0,702.0,1196.5,9.1,14.9,20.3,53.0,47.0,59.0,0.0,0.0,0.0
Torrey Craig,1508.5,928.5,983.5,19.3,18.6,17.0,78.0,50.0,58.0,0.0,0.0,0.0
Trae Young,5307.5,3961.5,4106.5,69.8,62.9,68.4,76.0,63.0,60.0,130.0,170.0,90.0
Tre Jones,1449.0,263.0,0.0,21.0,7.1,0.0,69.0,37.0,0.0,0.0,0.0,0.0
Tre Mann,1298.5,0.0,0.0,21.6,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
Tremont Waters,38.0,312.0,101.5,12.7,12.0,9.2,3.0,26.0,11.0,0.0,0.0,0.0
Trendon Watford,1110.5,0.0,0.0,23.1,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Trent Forrest,682.5,289.0,0.0,11.4,9.6,0.0,60.0,30.0,0.0,0.0,0.0,0.0
Trevelin Queen,98.0,0.0,0.0,9.8,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Trevor Ariza,307.0,816.5,1244.5,12.8,27.2,23.5,24.0,30.0,53.0,0.0,0.0,0.0
Trey Burke,444.5,900.5,633.0,10.6,14.5,19.2,42.0,62.0,33.0,0.0,0.0,0.0
Trey Lyles,1885.5,310.5,1305.0,25.1,13.5,20.7,75.0,23.0,63.0,0.0,0.0,0.0
Trey Murphy III,800.5,0.0,0.0,12.9,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
Tristan Thompson,1061.5,1499.0,2445.5,18.6,27.8,42.9,57.0,54.0,57.0,0.0,4.0,1.0
Troy Brown Jr.,874.0,425.0,2081.5,13.2,12.5,30.2,66.0,34.0,69.0,0.0,0.0,0.0
Ty Jerome,832.0,888.0,305.5,17.3,26.9,9.9,48.0,33.0,31.0,0.0,0.0,0.0
Tyler Bey,0.0,53.5,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Tyler Cook,189.5,398.0,61.5,9.5,12.4,4.7,20.0,32.0,13.0,0.0,0.0,0.0
Tyler Herro,2796.0,1901.0,1546.0,42.4,35.2,28.1,66.0,54.0,55.0,6.0,38.0,2.0
Tyrell Terry,3.5,41.0,0.0,1.8,3.7,0.0,2.0,11.0,0.0,0.0,0.0,0.0
Tyrese Haliburton,4090.5,2274.5,0.0,53.1,39.2,0.0,77.0,58.0,0.0,29.0,0.0,0.0
Tyrese Maxey,3108.5,1153.5,0.0,41.4,18.9,0.0,75.0,61.0,0.0,0.0,0.0,0.0
Tyus Jones,2029.5,1556.0,1601.5,27.8,22.2,24.6,73.0,70.0,65.0,0.0,0.0,0.0
Udoka Azubuike,252.0,52.5,0.0,14.8,3.5,0.0,17.0,15.0,0.0,0.0,0.0,0.0
Udonis Haslem,81.5,8.0,33.0,6.3,8.0,8.2,13.0,1.0,4.0,0.0,0.0,0.0
Usman Garuba,271.5,0.0,0.0,11.3,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
Vernon Carey Jr.,51.0,116.5,0.0,7.3,6.1,0.0,7.0,19.0,0.0,0.0,0.0,0.0
Victor Oladipo,234.5,1444.0,559.0,29.3,43.8,29.4,8.0,33.0,19.0,0.0,28.0,1.0
Vit Krejci,549.0,0.0,0.0,18.3,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
Vlatko Cancar,175.5,224.5,45.5,11.7,5.5,3.2,15.0,41.0,14.0,0.0,0.0,0.0
Wayne Ellington,598.5,906.5,424.0,13.9,19.7,11.8,43.0,46.0,36.0,0.0,0.0,0.0
Wayne Selden,9.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Wendell Carter Jr.,2935.0,1958.0,1649.5,47.3,36.3,38.4,62.0,54.0,43.0,0.0,28.0,1.0
Wenyen Gabriel,404.0,226.5,206.0,15.5,10.8,6.9,26.0,21.0,30.0,0.0,0.0,0.0
Wes Iwundu,49.0,286.5,788.0,16.3,7.0,15.2,3.0,41.0,52.0,0.0,0.0,0.0
Will Barton,2557.0,1745.5,2386.5,36.0,31.2,41.1,71.0,56.0,58.0,0.0,2.0,0.0
Willie Cauley-Stein,143.0,1001.5,1510.5,7.2,18.9,28.0,20.0,53.0,54.0,0.0,1.0,1.0
Willy Hernangomez,1433.5,1321.0,540.0,28.7,28.1,17.4,50.0,47.0,31.0,0.0,0.0,0.0
Xavier Sneed,12.0,0.0,0.0,1.3,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
Xavier Tillman Sr.,862.0,1294.0,0.0,16.3,21.9,0.0,53.0,59.0,0.0,0.0,0.0,0.0
Yuta Watanabe,452.5,715.5,103.0,11.9,14.3,5.7,38.0,50.0,18.0,0.0,0.0,0.0
Yves Pons,50.5,0.0,0.0,4.2,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Zach Collins,715.0,0.0,251.0,25.5,0.0,22.8,28.0,0.0,11.0,0.0,0.0,1.0
Zach LaVine,3305.0,3233.0,3092.5,49.3,55.7,51.5,67.0,58.0,60.0,101.0,69.0,81.0
Zeke Nnaji,692.5,325.0,0.0,16.9,7.7,0.0,41.0,42.0,0.0,0.0,0.0,0.0
Ziaire Williams,1068.0,0.0,0.0,17.2,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0
Zion Williamson,0.0,3805.0,1132.0,0.0,62.4,47.2,0.0,61.0,24.0,0.0,95.0,37.0
Zylan Cheatham,-2.5,0.0,37.5,-2.5,0.0,9.4,1.0,0.0,4.0,0.0,0.0,0.0
