,points,points,points,average,average,average,games,games,games,price,price,price
season,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020,2021-2022,2020-2021,2019-2020
name,,,,,,,,,,,,
Dillon Brooks,1203.5,2308.5,2329.5,37.6,34.5,31.9,32.0,67.0,73.0,0.0,2.0,0.0
Domantas Sabonis,3912.0,4282.5,3893.0,63.1,69.1,62.8,62.0,62.0,62.0,132.0,95.0,47.0
Donovan Mitchell,3617.5,2876.5,3328.0,54.0,54.3,48.2,67.0,53.0,69.0,90.0,115.0,33.0
Donte DiVincenzo,1015.5,2044.0,1774.0,24.2,31.0,26.9,42.0,66.0,66.0,0.0,1.0,0.0
Dorian Finney-Smith,2383.0,1684.0,1984.5,29.8,28.1,28.0,80.0,60.0,71.0,0.0,0.0,0.0
Doug McDermott,1094.0,1800.5,1401.5,21.5,27.3,20.3,51.0,66.0,69.0,0.0,0.0,0.0
Draymond Green,1835.0,2883.0,1611.0,39.9,45.8,37.5,46.0,63.0,43.0,14.0,49.0,45.0
Drew Eubanks,1718.0,1076.5,359.0,24.2,19.9,16.3,71.0,54.0,22.0,0.0,0.0,0.0
Duane Washington Jr.,910.5,0.0,0.0,19.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Duncan Robinson,1748.0,1938.0,1966.5,22.1,26.9,26.9,79.0,72.0,73.0,0.0,6.0,0.0
Dwayne Bacon,0.0,1601.5,523.5,0.0,22.2,13.4,0.0,72.0,39.0,0.0,0.0,0.0
Dwight Howard,1321.5,1856.5,1910.0,22.0,26.9,27.7,60.0,69.0,69.0,0.0,1.0,2.0
Dwight Powell,2094.0,1146.5,1145.0,25.5,19.8,28.6,82.0,58.0,40.0,0.0,0.0,0.0
Dylan Windler,354.5,478.5,0.0,7.1,15.4,0.0,50.0,31.0,0.0,0.0,0.0,0.0
E'Twaun Moore,0.0,364.5,1056.0,0.0,13.5,18.9,0.0,27.0,56.0,0.0,0.0,0.0
Edmond Sumner,0.0,860.5,430.5,0.0,16.2,13.9,0.0,53.0,31.0,0.0,0.0,0.0
Elfrid Payton,551.0,1637.0,1835.0,11.0,26.0,40.8,50.0,63.0,45.0,0.0,3.0,1.0
Elijah Bryant,0.0,33.5,0.0,0.0,33.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Elijah Hughes,299.5,57.5,0.0,8.3,3.2,0.0,36.0,18.0,0.0,0.0,0.0,0.0
Emanuel Terry,18.5,0.0,0.0,6.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Enes Kanter,484.0,3012.0,1653.5,13.8,41.8,28.5,35.0,72.0,58.0,0.0,1.0,2.0
Eric Bledsoe,1563.0,2174.5,2437.0,28.9,30.6,40.0,54.0,71.0,61.0,0.0,21.0,7.0
Eric Gordon,1547.0,886.5,901.5,27.1,32.8,25.0,57.0,27.0,36.0,0.0,3.0,1.0
Eric Paschall,692.5,809.5,1876.5,11.9,20.2,31.3,58.0,40.0,60.0,0.0,0.0,0.0
Eugene Omoruyi,23.0,0.0,0.0,5.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Evan Fournier,2300.5,1585.0,2471.5,28.8,37.7,37.4,80.0,42.0,66.0,15.0,14.0,0.0
Evan Mobley,3212.5,0.0,0.0,46.6,0.0,0.0,69.0,0.0,0.0,4.0,0.0,0.0
Facundo Campazzo,1266.5,1412.0,0.0,19.5,21.7,0.0,65.0,65.0,0.0,0.0,1.0,0.0
Feron Hunt,4.5,0.0,0.0,2.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Frank Jackson,1014.5,723.5,717.0,19.1,18.1,12.2,53.0,40.0,59.0,0.0,0.0,0.0
Frank Kaminsky,268.5,942.0,932.5,29.8,20.0,23.9,9.0,47.0,39.0,0.0,0.0,0.0
Frank Ntilikina,630.0,249.5,1139.5,10.9,7.6,20.0,58.0,33.0,57.0,0.0,0.0,0.0
Franz Wagner,2849.0,0.0,0.0,36.1,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0
Fred VanVleet,3441.5,2697.5,2624.0,52.9,51.9,48.6,65.0,52.0,54.0,65.0,41.0,0.0
Freddie Gillespie,123.5,420.0,0.0,13.7,21.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0
Furkan Korkmaz,1210.0,1091.0,1421.5,18.1,19.8,19.7,67.0,55.0,72.0,0.0,0.0,0.0
Gabe Vincent,1507.5,551.0,48.0,22.2,11.0,5.3,68.0,50.0,9.0,0.0,0.0,0.0
Gabriel Deck,46.5,245.0,0.0,6.6,24.5,0.0,7.0,10.0,0.0,0.0,0.0,0.0
Garrett Temple,881.0,1196.0,1611.5,14.9,21.4,26.0,59.0,56.0,62.0,0.0,0.0,0.0
Garrison Mathews,1423.0,744.0,204.5,21.9,11.6,11.4,65.0,64.0,18.0,0.0,0.0,0.0
Gary Harris,1460.0,867.0,1434.5,23.9,22.2,25.6,61.0,39.0,56.0,0.0,0.0,0.0
Gary Payton II,1549.5,76.0,470.5,21.8,7.6,16.2,71.0,10.0,29.0,0.0,0.0,0.0
Gary Trent Jr.,2618.5,1699.5,1204.5,37.4,29.3,19.7,70.0,58.0,61.0,0.0,0.0,0.0
George Hill,1014.0,660.5,1546.0,18.8,22.0,26.2,54.0,30.0,59.0,0.0,0.0,0.0
George King,-0.5,0.0,0.0,-0.1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Georges Niang,1480.5,1068.5,809.5,19.5,14.8,12.3,76.0,72.0,66.0,0.0,0.0,0.0
Georgios Kalaitzakis,173.5,0.0,0.0,13.3,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Giannis Antetokounmpo,5437.0,4751.0,5146.5,81.1,77.9,81.7,67.0,61.0,63.0,201.0,209.0,198.0
Goga Bitadze,1049.0,840.5,556.0,21.0,18.7,10.3,50.0,45.0,54.0,0.0,0.0,0.0
Goran Dragic,496.5,1575.5,2184.5,23.6,31.5,37.0,21.0,50.0,59.0,0.0,7.0,0.0
