name,season,fp,games,pergfp,price,fppd
Langston Galloway,2016-2017,1257.0,74,17.0,,
Langston Galloway,2014-2015,1398.5,45,31.1,,
Langston Galloway,2017-2018,797.0,58,13.7,,
Langston Galloway,2015-2016,1881.0,82,22.9,,
Larry Nance Jr.,2021-2022,1124.0,46,24.4,,
Larry Nance Jr.,2015-2016,1245.0,63,19.8,,
Larry Nance Jr.,2016-2017,1753.5,63,27.8,,
Larry Nance Jr.,2017-2018,2108.0,66,31.9,,
Larry Nance Jr.,2018-2019,2616.0,67,39.0,,
Larry Nance Jr.,2019-2020,1902.5,56,34.0,3.0,634.2
Larry Nance Jr.,2020-2021,1204.5,35,34.4,3.0,401.5
Lauri Markkanen,2021-2022,2030.5,61,33.3,,
Lauri Markkanen,2020-2021,1464.5,51,28.7,27.0,54.2
Lauri Markkanen,2018-2019,2351.5,52,45.2,,
Lauri Markkanen,2017-2018,2459.5,68,36.2,,
Lauri Markkanen,2019-2020,1642.0,50,32.8,63.0,26.1
LeBron James,2016-2017,5608.5,74,75.8,,
LeBron James,2020-2021,3010.5,45,66.9,200.0,15.1
LeBron James,2019-2020,5162.5,67,77.1,165.0,31.3
LeBron James,2018-2019,4156.5,55,75.6,,
LeBron James,2017-2018,6535.5,81,80.7,,
LeBron James,2021-2022,4195.5,56,74.9,,
LeBron James,2015-2016,5001.0,75,66.7,,
LeBron James,2013-2014,5005.0,77,65.0,,
LeBron James,2012-2013,5739.5,76,75.5,,
LeBron James,2011-2012,4385.5,62,70.7,,
LeBron James,2010-2011,5463.5,79,69.2,,
LeBron James,2014-2015,4436.5,69,64.3,,
Leandro Bolmaro,2021-2022,163.5,35,4.7,,
Lonnie Walker IV,2018-2019,122.5,17,7.2,,
Lonnie Walker IV,2019-2020,935.0,61,15.3,,
Lonnie Walker IV,2020-2021,1346.0,60,22.4,,
Lonnie Walker IV,2021-2022,1766.0,70,25.2,,
Lonzo Ball,2021-2022,1491.5,35,42.6,,
Lonzo Ball,2020-2021,2350.5,55,42.7,49.0,48.0
Lonzo Ball,2017-2018,2319.0,52,44.6,,
Lonzo Ball,2018-2019,1671.0,47,35.6,,
Lonzo Ball,2019-2020,2714.0,63,43.1,4.0,678.5
Lou Williams,2017-2018,3697.5,79,46.8,,
Lou Williams,2021-2022,852.0,56,15.2,,
Lou Williams,2020-2021,1727.0,66,26.2,7.0,246.7
Lou Williams,2019-2020,2608.0,65,40.1,30.0,86.9
Lou Williams,2018-2019,3291.5,75,43.9,,
Lou Williams,2016-2017,2798.5,81,34.5,,
