Player,Price,,,,
Killian Hayes,1,,"Killian Hayes?(Det - PG,SG)",1,Killian Hayes?
Obi Toppin,5,,"Obi Toppin?(NY - SF,PF)",5,Obi Toppin?
Cam Reddish,1,,"Cam Reddish?(Atl - SG,SF,PF)",1,Cam Reddish?
Chris Boucher,1,,"Chris Boucher?(Tor - PF,C)",1,Chris Boucher?
Delon Wright,1,,"Delon Wright?(Det - PG,SG,SF)",1,Delon Wright?
Paul Millsap,1,,"Paul Millsap?(Den - PF,C)",1,Paul Millsap?
Joe Harris,1,,"Joe Harris?(Bkn - SG,SF)",1,Joe Harris?
Malik Beasley,2,,"Malik Beasley?(Min - PG,SG)",2,Malik Beasley?
Josh Jackson,1,,"Josh Jackson?(Det - SG,SF)",1,Josh Jackson?
Jordan Clarkson,1,,"Jordan Clarkson?(Uta - PG,SG)",1,Jordan Clarkson?
Tyrese Haliburton,1,,"Tyrese Haliburton?(Sac - PG,SG)",1,Tyrese Haliburton?
Jakob Poeltl,1,,Jakob Poeltl?(SA - C),1,Jakob Poeltl?
Marc Gasol,1,,Marc Gasol?(LAL - C),1,Marc Gasol?
Jabari Parker,1,,"Jabari Parker?(Sac - SF,PF)",1,Jabari Parker?
Terrence Ross,1,,"Terrence Ross?(Orl - SG,SF)",1,Terrence Ross?
Deni Avdija,1,,"Deni Avdija?(Was - SG,SF)",1,Deni Avdija?
Kevin Porter Jr.,1,,"Kevin Porter Jr.?(Hou - SG,SF)",1,Kevin Porter Jr.?
Jaxson Hayes,1,,Jaxson Hayes?(NO - C),1,Jaxson Hayes?
Tim Hardaway Jr.,1,,"Tim Hardaway Jr.?(Dal - SG,SF)",1,Tim Hardaway Jr.?
